<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;240103;100000;271.75;273.7;271;273.48;5248430
SBER;60;240103;110000;273.49;274.36;273.48;273.93;3324750
SBER;60;240103;120000;273.93;273.95;273.09;273.7;2225570
SBER;60;240103;130000;273.7;274.2;273.25;273.72;1648780
SBER;60;240103;140000;273.71;274.1;273.7;274.1;765740
SBER;60;240103;150000;274.1;274.45;274.06;274.34;1262660
SBER;60;240103;160000;274.33;274.35;273.9;274.24;780360
SBER;60;240103;170000;274.2;274.35;274.08;274.27;1033310
SBER;60;240103;180000;274.27;274.38;273.64;273.64;1796750
SBER;60;240103;190000;273.78;273.96;273.77;273.95;696150
SBER;60;240103;200000;273.93;273.95;273.77;273.85;181650
SBER;60;240103;210000;273.8;274.1;273.75;274.09;309870
SBER;60;240103;220000;274.09;274.1;273.93;274.1;253520
SBER;60;240103;230000;274.09;274.7;274.04;274.56;881020
SBER;60;240104;100000;274.68;275.48;274.1;274.45;4143160
SBER;60;240104;110000;274.45;274.91;274.26;274.85;1076480
SBER;60;240104;120000;274.86;274.89;273.84;273.89;1482490
SBER;60;240104;130000;273.89;274.28;273.81;274.11;868550
SBER;60;240104;140000;274.11;274.28;274;274.09;433870
SBER;60;240104;150000;274.1;274.17;273.96;274.06;371280
SBER;60;240104;160000;274.06;274.08;273.8;273.8;772310
SBER;60;240104;170000;273.81;274;273.8;273.89;445640
SBER;60;240104;180000;273.88;274.04;273.71;274.04;642580
SBER;60;240104;190000;274.13;274.29;273.7;274.11;628100
SBER;60;240104;200000;274.08;274.18;273.79;273.98;248270
SBER;60;240104;210000;273.99;274.24;273.97;274.11;293560
SBER;60;240104;220000;274.12;274.2;274.1;274.11;92970
SBER;60;240104;230000;274.11;274.17;274;274.12;180290
SBER;60;240105;100000;274.3;274.69;273.13;273.44;1933540
SBER;60;240105;110000;273.43;273.58;272.8;273.28;1851200
SBER;60;240105;120000;273.28;273.5;273.06;273.33;533120
SBER;60;240105;130000;273.33;273.66;273;273.21;1241160
SBER;60;240105;140000;273.2;273.5;273.18;273.43;206240
SBER;60;240105;150000;273.41;273.58;273.13;273.37;553070
SBER;60;240105;160000;273.38;273.48;273.32;273.44;318620
SBER;60;240105;170000;273.45;273.49;273.03;273.08;668660
SBER;60;240105;180000;273.1;273.46;273.08;273.46;895430
SBER;60;240105;190000;273.25;273.52;273.25;273.4;447270
SBER;60;240105;200000;273.4;273.42;273.24;273.37;191970
SBER;60;240105;210000;273.36;273.42;273.25;273.37;223530
SBER;60;240105;220000;273.35;273.49;273.33;273.49;155640
SBER;60;240105;230000;273.49;273.7;273.44;273.62;402930
SBER;60;240108;100000;273.59;275.4;273.53;275.04;4252500
SBER;60;240108;110000;275.05;275.1;274.66;274.79;1647930
SBER;60;240108;120000;274.78;274.79;274.36;274.64;844640
SBER;60;240108;130000;274.64;275.28;274.36;275.02;1523500
SBER;60;240108;140000;275.04;276.5;274.9;276.49;3809270
SBER;60;240108;150000;276.5;277;276.28;276.63;2875360
SBER;60;240108;160000;276.62;276.69;276.17;276.31;921210
SBER;60;240108;170000;276.3;276.5;275.73;276.01;1927700
SBER;60;240108;180000;276.01;276.12;275.75;275.81;1021500
SBER;60;240108;190000;275.83;276.5;275.82;276.32;699600
SBER;60;240108;200000;276.33;276.35;276.08;276.2;322470
SBER;60;240108;210000;276.22;276.37;276.17;276.36;373650
SBER;60;240108;220000;276.36;276.73;276.33;276.49;738040
SBER;60;240108;230000;276.5;276.77;276.43;276.76;470080
SBER;60;240109;100000;276.94;278;275.35;275.83;4657120
SBER;60;240109;110000;275.83;275.83;275.03;275.49;2369210
SBER;60;240109;120000;275.49;275.83;275.37;275.49;1338950
SBER;60;240109;130000;275.5;275.5;275.23;275.3;929380
SBER;60;240109;140000;275.3;275.5;274.71;275.49;1983990
SBER;60;240109;150000;275.49;275.5;275;275.45;1015140
SBER;60;240109;160000;275.43;275.79;275.37;275.74;1556560
SBER;60;240109;170000;275.74;276.05;275.39;275.92;2670350
SBER;60;240109;180000;275.92;276.2;275.75;276;1425420
SBER;60;240109;190000;276;276.19;275.64;275.83;534020
SBER;60;240109;200000;275.82;276.06;275.82;275.97;331550
SBER;60;240109;210000;275.99;276.04;275.83;275.96;208620
SBER;60;240109;220000;275.95;276.03;275.86;275.89;195570
SBER;60;240109;230000;275.96;275.96;275.01;275.28;1047240
SBER;60;240110;100000;275.3;276.16;275.06;275.88;3316400
SBER;60;240110;110000;275.88;275.92;275.56;275.72;1653530
SBER;60;240110;120000;275.69;275.75;275.2;275.68;1859300
SBER;60;240110;130000;275.66;275.74;275.1;275.12;1114690
SBER;60;240110;140000;275.13;275.6;275.12;275.6;1211020
SBER;60;240110;150000;275.6;276;275.59;275.85;1666140
SBER;60;240110;160000;275.86;275.89;275.2;275.23;1170540
SBER;60;240110;170000;275.23;276;275.06;275.62;3211980
SBER;60;240110;180000;275.62;275.8;275.33;275.68;992920
SBER;60;240110;190000;275.55;275.75;275.4;275.47;303280
SBER;60;240110;200000;275.46;275.59;275.25;275.32;302680
SBER;60;240110;210000;275.32;275.32;273.64;274.5;2528430
SBER;60;240110;220000;274.49;274.71;274.07;274.47;913830
SBER;60;240110;230000;274.47;274.68;274.26;274.49;374210
SBER;60;240111;100000;274.62;275.5;274.01;274.85;3363820
SBER;60;240111;110000;274.85;274.85;274.08;274.4;1928950
SBER;60;240111;120000;274.39;275.15;274.36;275.05;2109840
SBER;60;240111;130000;275.03;275.3;274.72;275.17;1418700
SBER;60;240111;140000;275.18;275.3;274.9;274.97;909990
SBER;60;240111;150000;274.97;275.27;274.51;274.59;1230210
SBER;60;240111;160000;274.59;274.6;274.2;274.56;1391090
SBER;60;240111;170000;274.57;275.56;274.1;275.56;2073300
SBER;60;240111;180000;275.56;275.9;275.33;275.9;2803830
SBER;60;240111;190000;275.51;275.9;275.39;275.67;809410
SBER;60;240111;200000;275.67;275.97;275.39;275.77;584810
SBER;60;240111;210000;275.76;275.85;275.28;275.81;404280
SBER;60;240111;220000;275.8;275.8;275.4;275.56;211970
SBER;60;240111;230000;275.56;275.74;275.52;275.71;280270
SBER;60;240112;100000;275.9;276.96;274.77;275.46;4935060
SBER;60;240112;110000;275.47;276.3;275.02;275.94;2094260
SBER;60;240112;120000;275.95;276.07;275.53;275.72;664440
SBER;60;240112;130000;275.72;275.73;275.2;275.67;1514660
SBER;60;240112;140000;275.68;276.24;275.36;275.97;1548230
SBER;60;240112;150000;275.99;276;275.5;275.82;800480
SBER;60;240112;160000;275.85;275.97;275.52;275.65;960320
SBER;60;240112;170000;275.65;276.25;275.53;276.02;1913490
SBER;60;240112;180000;276.12;276.15;275.4;275.4;800150
SBER;60;240112;190000;275.71;275.72;275.31;275.62;529420
SBER;60;240112;200000;275.62;275.7;275.36;275.51;293490
SBER;60;240112;210000;275.5;275.83;275.45;275.72;500050
SBER;60;240112;220000;275.73;275.97;275.52;275.85;390100
SBER;60;240112;230000;275.85;276;275.4;275.84;664200
SBER;60;240115;100000;276.3;277.73;276;276.84;6409370
SBER;60;240115;110000;276.85;277.43;276.75;276.77;1746310
SBER;60;240115;120000;276.77;277.26;276.4;276.58;2095040
SBER;60;240115;130000;276.58;276.8;275.89;275.89;1838210
SBER;60;240115;140000;275.88;276.66;275.8;276.31;1122720
SBER;60;240115;150000;276.31;276.77;276.3;276.39;768970
SBER;60;240115;160000;276.39;276.5;276;276.21;912560
SBER;60;240115;170000;276.2;276.3;275.21;275.53;2421850
SBER;60;240115;180000;275.52;276.1;275.37;276.1;2194750
SBER;60;240115;190000;275.94;276.05;275.8;276;553920
SBER;60;240115;200000;276;276.19;275.86;275.96;447580
SBER;60;240115;210000;275.96;276.19;275.71;275.78;372580
SBER;60;240115;220000;275.78;276;275.74;275.99;205990
SBER;60;240115;230000;275.99;276;275.86;275.96;193440
SBER;60;240116;100000;276.24;276.45;274.1;275.04;3416230
SBER;60;240116;110000;275.03;275.03;274.57;274.78;1255880
SBER;60;240116;120000;274.76;275;274.5;274.78;1982560
SBER;60;240116;130000;274.77;275.32;274.7;275.32;1247740
SBER;60;240116;140000;275.29;275.33;274.92;275.27;1048710
SBER;60;240116;150000;275.29;275.3;274.77;274.99;858220
SBER;60;240116;160000;274.98;275;274.63;275;771270
SBER;60;240116;170000;275;275.89;274.75;275.84;1966630
SBER;60;240116;180000;275.85;276.13;275.7;275.7;1498070
SBER;60;240116;190000;275.72;276.12;275.67;276.02;425970
SBER;60;240116;200000;276.02;276.12;275.96;275.98;253930
SBER;60;240116;210000;275.97;276.3;275.96;276.24;536140
SBER;60;240116;220000;276.25;276.38;276.05;276.29;479390
SBER;60;240116;230000;276.31;276.35;276;276.01;343400
SBER;60;240117;100000;276.02;277.99;275.75;277.82;7507840
SBER;60;240117;110000;277.83;278.95;277.82;278.92;9688780
SBER;60;240117;120000;278.91;279.17;278.22;278.48;4167230
SBER;60;240117;130000;278.48;278.98;278.35;278.56;1724750
SBER;60;240117;140000;278.57;278.73;277.82;278.69;2708130
SBER;60;240117;150000;278.69;278.69;277.88;278.06;1445650
SBER;60;240117;160000;278.08;278.45;277.5;277.76;2261160
SBER;60;240117;170000;277.75;278.18;277.6;278.11;832720
SBER;60;240117;180000;278.11;278.3;277.7;277.7;1520140
SBER;60;240117;190000;277.84;278.03;277.7;278.03;758880
SBER;60;240117;200000;278.03;278.04;277.95;278.03;228600
SBER;60;240117;210000;278.03;278.17;277.97;278.07;357800
SBER;60;240117;220000;278.14;278.24;278;278.24;503190
SBER;60;240117;230000;278.24;278.26;277.96;278;432230
SBER;60;240118;100000;278.22;278.69;277.5;278.28;3727800
SBER;60;240118;110000;278.26;278.87;277.63;277.94;2174790
SBER;60;240118;120000;277.95;278.12;277.1;277.51;2353850
SBER;60;240118;130000;277.51;277.71;277.2;277.42;1261330
SBER;60;240118;140000;277.42;277.7;277.32;277.51;646900
SBER;60;240118;150000;277.51;278.07;277.31;277.96;1358270
SBER;60;240118;160000;277.94;277.97;277.4;277.49;1267130
SBER;60;240118;170000;277.48;277.79;277.28;277.56;1054310
SBER;60;240118;180000;277.64;277.78;277.49;277.78;684230
SBER;60;240118;190000;277.51;277.73;276.76;277.16;1536480
SBER;60;240118;200000;277.15;277.16;276.78;277.03;582910
SBER;60;240118;210000;277.03;277.39;276.78;277;500800
SBER;60;240118;220000;277;277.24;276.88;276.9;298580
SBER;60;240118;230000;276.89;277.1;276.86;277.07;224450
SBER;60;240119;100000;277.39;277.47;275.5;275.83;5419940
SBER;60;240119;110000;275.82;276.22;275;275.82;2711130
SBER;60;240119;120000;275.82;276.3;275.5;276.21;950550
SBER;60;240119;130000;276.26;276.49;275.97;276;1133440
SBER;60;240119;140000;276;276.15;275.8;275.92;495160
SBER;60;240119;150000;275.93;276.07;274.31;274.54;4029290
SBER;60;240119;160000;274.54;274.58;273.55;274.38;5652190
SBER;60;240119;170000;274.37;274.94;274.3;274.83;1619330
SBER;60;240119;180000;274.81;275.29;274.17;275.29;3451040
SBER;60;240119;190000;275.02;275.23;274.73;274.92;623460
SBER;60;240119;200000;274.92;274.98;274.78;274.8;261330
SBER;60;240119;210000;274.8;274.8;274.49;274.75;509660
SBER;60;240119;220000;274.75;275.05;274.64;274.85;544940
SBER;60;240119;230000;274.87;275.01;274.69;274.86;637420
SBER;60;240122;100000;274.89;275.19;273.85;274.2;3198050
SBER;60;240122;110000;274.2;275.7;274.19;275.29;2895290
SBER;60;240122;120000;275.29;275.68;274.68;275.55;1371940
SBER;60;240122;130000;275.56;275.67;274.75;274.99;1241700
SBER;60;240122;140000;274.99;275.19;274.75;275.18;646250
SBER;60;240122;150000;275.19;275.88;275.11;275.7;1324590
SBER;60;240122;160000;275.68;275.9;275.09;275.15;749370
SBER;60;240122;170000;275.15;275.57;274.95;275.4;632780
SBER;60;240122;180000;275.42;275.59;275.01;275.01;1023870
SBER;60;240122;190000;275.1;275.36;274.93;274.94;596390
SBER;60;240122;200000;274.96;275.08;274.93;275.01;337910
SBER;60;240122;210000;275.01;275.13;274.98;275.11;262800
